Aji Roothkar Ab Kahan Jaiega,Aarzu,Desh / Des,not available.txt
Gori Tore Naina Kajar Bin Kare Kare,Main Suhagan Hun,Desh / Des,not available.txt
Bekasi Hadse Jab Guzar Jaye,Kalpana,Desh / Des,not available.txt
Eri Ayi Barakha Ritu,,Desh / Des,not available.txt
Pyar Hua Chupke Se,1942 A Love Story,Desh / Des,not available.txt
Vande Matharam,Anand Math,Desh / Des,not available.txt
Apko Pyar Chupaneki Buri Aadat Hai,Neela Akash,Desh / Des,not available.txt
Chadariya Jhini Re Jhini,Bhajan,Desh / Des,not available.txt
Aaj Gawat Man Mero,Baiju Bawra,Desi,not available.txt
Jab Dil Ko Satae Gham,,Dev Gandhar,not available.txt
Jhule Na Jhool,,Dev Gandhar,not available.txt
Prabhu Tero Naam Jo Gaye Phal,Hum Dono,Dhani,not available.txt
Geet Gaya Pattharon Ne,Geet Gaya Pattharon Ne,Durga,not available.txt
Chanda Re Mori Oatiya Le Ja,Miss Mary,Durga,not available.txt
Unke Khayal Aye To Ate Chale Gaye,Laal Patthar,Gara,not available.txt
Kabhi Khud Pe Kabhi Haalaath Pe Ronaa Aayaa,Hum Dono,Gara,not available.txt
Raghupati Raghav Raja Ram,Bhajan,Gara,raghupati raghav rajaram.html
Hamsafar Saath Apna Chod Chale,,Gara,not available.txt
Tere Mere Sapne Ab Ek Rang Hain,Guide,Gara,not available.txt
Thumak Chalat Ram Chandra,Bhajan,Gara,not available.txt
Mohe Panghatpe Nandalal Ched Gayo Re,Mughal-E-Azam,Gara,not available.txt
Deewana Kehke Aaj Mujhe Phir Pukariye,Muzlim,Gara,not available.txt
Jeevan Mein Piya Tera Saath Rahe,Goonj Uthi Shehnai,Gara,not available.txt
Aise To Na Dekho,Teen Deviyan,Gara,not available.txt
Sur Ki Gati Main Kya Janu,,Hameer,not available.txt
Madhuban Mein Radhika Naache Re,Kohinoor,Hameer,not available.txt
Ja Tose Nahin Bolu Kanhaiya,Parivaar,Haunsdhwani / Hansadhvani / Hamsadhvani,not available.txt
Lai Ja Re Badra,Dil Pe Mat Le Yaar,Haunsdhwani / Hansadhvani / Hamsadhvani,not available.txt
Ranga De De Madhuban Ki Hiraniya,,Haunsdhwani / Hansadhvani / Hamsadhvani,not available.txt
Santo Karam Ki Gati Nyari,Chala Vahi Desh (Non Filmi Album),Haunsdhwani / Hansadhvani / Hamsadhvani,not available.txt
Yaad Piya Ki Aye,A Thumri,Hemant,not available.txt
Ud Ja Re Ja Re Kaga,Meera bhajan,Hemant,not available.txt
Balma Anadi Man Bhaye,Bahurani,Hemant,not available.txt
Sudh Bisar Gai Aja,,Hemant,not available.txt
Tum Bin Jeevan Kaise,,Hemant,not available.txt
Dost Bankar Bhi Nahin Saath Nibhanewala,Ghazal,Jaijaiwanti (Bageshree Ang),not available.txt
Zindagi Aaj Mere Naamse Sharmati Hai,,Jaijaiwanti (Bageshree Ang),not available.txt
Suni Suni Saans Kay Sitaar Par,Laal Patthar,Jaijaiwanti (Bageshree Ang),not available.txt
Manmohana Bade Jhoothe,Seema,Jaijaiwanti (Bageshree Ang),not available.txt
Yeh Dil Ki Lagi Kam Kya Hogi,Mughal-E-Azam,Jaijaiwanti (Bageshree Ang),not available.txt
Thumak Chalat Ramchandra Baajat Paijaniya,Bhajan,Jaijaiwanti (Bageshree Ang),not available.txt
Bairan Ho Gai Raina,Dekh Kabira Roya,Jaijaiwanti (Bageshree Ang),not available.txt
